Species,Family,Higher_level,Diversity,Size/Weight/Age,Length Type,Min depth,Max depth,Northernmost Lat (north is +),Southernmost Lat,Max abs lat,Min temp,Max temp,Trophic Level,distribution,habitat,burrowing,Activity,Citation,Categories,Counter
Chirolophis_nugator,Stichaeidae,,,15,TL male/unsexed,20,80,NA,NA,NA,NA,NA,3.6,"Eastern Pacific:  Aleutian Islands, Alaska to San Miguel Island, southern California, USA.",demersal; marine; depth range 20 - 80 m (Ref. 51666),,NA,,,
Chirolophis_snyderi,Stichaeidae,,,20,SL male/unsexed,0,490,NA,NA,NA,NA,NA,3.5,"Northwest Pacific and adjacent Arctic:  Chukchi Sea to western Gulf of Alaska to Sea of Okhotsk, Tatar Strait, and Pacific coast of Hokkaido (Ref. 51666).  Reported from South Korea (Ref. 77001).",demersal; marine; depth range 0 - 490 m (Ref. 50610),,NA,,,
Esselenichthys_carli,Stichaeidae,,,17.1,SL male/unsexed,1,26,NA,NA,NA,NA,NA,2.6,"Eastern Central Pacific:  Pacific Grove, California to Baha San Quintn, Baja California Norte, Mexico.",demersal; marine; depth range 1 - 26 m (Ref. 48788),,NA,,,
Kasatkia_seigeli,Stichaeidae,,,8.2,SL male/unsexed,6,26,NA,NA,NA,NA,NA,3.1,"Eastern Central Pacific:  California, USA.",demersal; marine; depth range 6 - 26 m (Ref. 51666),,NA,,,
Lumpenus_sagitta,Stichaeidae,,,51,TL male/unsexed,0,425,NA,NA,NA,NA,NA,3.3,"North Pacific:  Sea of Japan and Sakhalin, Russia to St. Lawrence Island in the Bering Sea to Adak Island in the Aleutian chain and San Francisco, California, USA.",benthopelagic; marine; depth range 0 - 425 m (Ref. 50550),,NA,,,
Neozoarces_pulcher,Stichaeidae,,,16,TL male/unsexed,6,8,43,42,43,NA,NA,3.3,"Northwest Pacific:  Japan Sea off Korean Peninsula and coast of Russia to both sides of Tatar Strait, Okhotsk Sea off east and south coasts of Sakhalin.",demersal; marine,,NA,,,
Opisthocentrus_tenuis,Stichaeidae,,,15,SL male/unsexed,? ,300,NA,NA,NA,NA,NA,3.2,Northwest Pacific:  Japan (Ref. 559) and South Korea (Ref. 77001).,"demersal; marine; depth range ? - 300 m (Ref. 51666), usually ? - 70 m (Ref. 51666)",,NA,,,
Pholidapus_dybowskii,Stichaeidae,,,46,TL male/unsexed,0,146,NA,NA,NA,NA,NA,3.2,"Northwest Pacific:  Sea of Okhotsk to Hokkaido, the Kuril Islands, and the northern Sea of Japan.",demersal; marine; depth range 0 - 146 m (Ref. 50550),,NA,,,
Plectobranchus_evides,Stichaeidae,,,13,TL male/unsexed,84,368,55,32,55,NA,NA,3.1,"Eastern Pacific:  British Columbia, Canada to San Diego in California, USA.",demersal; marine; depth range 84 - 368 m (Ref. 51666),,NA,,,
Stichaeus_grigorjewi,Stichaeidae,,,60,TL male/unsexed,258,300,NA,NA,NA,NA,NA,4.4,"Northwest Pacific:  southern Okhotsk Sea and southern Kuril Islands, northern Japan Sea coasts from De Kastri Bay to Korean Peninsula, to Yellow Sea, Pacific coast of Japan to Tokyo.",demersal; marine; depth range ? - 300 m (Ref. 51666),,NA,,,
Pampus_argenteus,Stromateidae,,,60,SL male/unsexed,5,110,46,-10,46,NA,NA,3.3,"Indo-West Pacific:  Persian Gulf to Indonesia, north to Hokkaido, Japan.  Extralimital captures have been made from the Adriatic and off Hawaii.  Not recorded from Australasia.",benthopelagic; oceanodromous (Ref. 51243); marine; depth range 5 - 110 m (Ref. 12260),,NA,,,
Pampus_chinensis,Stromateidae,,,40,TL male/unsexed,10, ? ,32,-3,32,NA,NA,3.6,"Indo-West Pacific:  Persian Gulf to eastern Indonesia, north to Japan.  Not recorded from Australia or New Guinea.",benthopelagic; amphidromous (Ref. 51243); brackish; marine; depth range 10 - ? m (Ref. 9811),,NA,,,
Pampus_cinereus,Stromateidae,,,60,SL male/unsexed,5,110,46,-10,46,NA,NA,3.3,Indo-West Pacific.,benthopelagic; marine,,NA,,,
Pampus_minor,Stromateidae,,,13.4,SL male/unsexed,NA,NA,NA,NA,NA,NA,NA,3.3,"Western Pacific:  ranges as far north as Xiamen, Fujian Province, China.  Probably occurring in southeast Asian seas.",benthopelagic; marine,,NA,,,
Pampus_punctatissimus,Stromateidae,,,25.8,SL male/unsexed,NA,NA,NA,NA,NA,NA,NA,3.4,Northwest Pacific:  southern Japan and the East China Sea.,benthopelagic; marine,,NA,,,
Peprilus_medius,Stromateidae,,,25,SL male/unsexed,10,60,25,,25,NA,NA,4,"Eastern Pacific:  Mexico to Peru, including the Galapagos Islands.",benthopelagic; marine,,NA,,,
Peprilus_simillimus,Stromateidae,,,28,SL male/unsexed,9,91,55,24,55,NA,NA,4,"Northeast Pacific:  Queen Charlotte Sound in British Columbia, Canada to southern Baja California and the Gulf of California.  Occurrence in Nicaragua needs verification.",benthopelagic; marine; depth range 9 - 91 m (Ref. 2850),,NA,,,
Peprilus_triacanthus,Stromateidae,,,30,TL male/unsexed,15,420,54,22,54,NA,NA,3.9,"Western Atlantic:  eastern Newfoundland and Gulf of St. Lawrence, Canada to Palm Beach, eastern Florida, USA.  Also in the Gulf of Mexico (Ref. 2702).  Absent in Bermuda or Caribbean (Ref. 26938).",benthopelagic; oceanodromous (Ref. 51243); brackish; marine; depth range 15 - 420 m (Ref. 58426),,NA,,,
Stromateus_fiatola,Stromateidae,,,50,SL male/unsexed,10,70,48,-34,48,NA,NA,4,"Eastern Atlantic:  Bay of Biscay where rare (Ref. 6561) and the Mediterranean southward to the Cape of Good Hope, South Africa.",benthopelagic; marine; depth range 10 - 70 m (Ref. 2683),,NA,,,
Stromateus_stellatus,Stromateidae,,,25.1,SL male/unsexed,NA,NA,-12,-47,47,NA,NA,3.6,Southeast Pacific:  Peru and Chile.,benthopelagic; marine,,NA,,,
Inimicus_japonicus,Synanceiidae,,,29,TL male/unsexed,10,200,NA,NA,NA,NA,NA,4.2,Indo-West Pacific:  Japan and East China Sea.,demersal; marine; depth range 10 - 200 m,,NA,,,
Inimicus_sinensis,Synanceiidae,,,26,TL male/unsexed,5,90,NA,NA,NA,NA,NA,4.1,"Indo-West Pacific:  Indian Ocean to Taiwan, Philippines, Indonesia, the Arafura Sea (Ref. 9819) and Western Australia.",reef-associated; marine; depth range 5 - 90 m (Ref. 9710),,NA,,,
Synanceia_verrucosa,Synanceiidae,,,40,SL male/unsexed,? ,30,30,-30,30,NA,NA,4.2,"Indo-Pacific:  Red Sea and East Africa to French Polynesia, north to the Ryukyu and Ogasawara islands, south to Queensland, Australia.",reef-associated; non-migratory; marine; depth range ? - 30 m (Ref. 37816),,NA,,,
Corythoichthys_haematopterus,Syngnathidae,,,19.8,SL male/unsexed,0,21,30,-30,30,NA,NA,3.8,"Indo-Pacific:  East Africa to Vanuatu, north to southern Japan.",reef-associated; marine; depth range 0 - 21 m (Ref. 37816),,NA,,,
Corythoichthys_intestinalis,Syngnathidae,,,16,SL male/unsexed,20,68,16,-23,23,NA,NA,3.2,"Western Central Pacific:  Borneo to Samoa, north to Marshall and Mariana Islands, south to Rowley Shoals and New Caledonia; throughout Micronesia.","reef-associated; marine; depth range 20 - 68 m (Ref. 9710), usually ? - 68 m (Ref. 37816)",,NA,,,
Doryrhamphus_dactyliophorus,Syngnathidae,,,19,TL male/unsexed,5,56,33,-26,33,NA,NA,3.8,"Indo-Pacific:  Red Sea and East Africa to Samoa, north to Japan (Ref. 559), south to Australia.",reef-associated; marine; depth range 5 - 56 m (Ref. 1602),,NA,,,
Doryrhamphus_excisus_excisus,Syngnathidae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Indo-Pacific and Eastern Pacific:  Persian Gulf and East Africa to the west coast of the Americas.,reef-associated; marine; depth range 2 - 50 m (Ref. 30874),,NA,,,
Entelurus_aequoreus,Syngnathidae,,,40,TL male/unsexed,NA,NA,64,30,64,NA,NA,3.5,Eastern Atlantic:  Iceland and Norway to Azores and also enters Baltic Sea.,"demersal; brackish; marine, usually 5 - 100 m (Ref. 35388)",,NA,,,
Haliichthys_taeniophorus,Syngnathidae,,,30,TL male/unsexed,? ,16,-2,-26,26,NA,NA,3.4,"Indo-Pacific:  Indonesian waters around Irian Jaya (northern coast and Tanamerah Bay) and Australian waters from Shark Bay, western Australia to the Torres Straits in northern Queensland.",demersal; marine; depth range ? - 16 m,,NA,,,
Hippichthys_penicillus,Syngnathidae,,,18,SL male/unsexed,NA,NA,34,-34,34,NA,NA,3.4,"Indo-West Pacific:  western Persian Gulf (Kuwait, Saudi Arabia), north central Indian Ocean, and eastward to Japan and Queensland, Australia.",demersal; freshwater; brackish; marine,,NA,,,
Hippocampus_abdominalis,Syngnathidae,,,35,OT male/unsexed,0,104,-24,-50,50,NA,NA,3.4,"Southwest Pacific:  Australia and New Zealand.  Vulnerable (Ref. 30915).  Occurrence in Thailand and the Philippines (Ref. 43081) needs verification. International trade is monitored through a licensing system (CITES II, since 5.15.04) and a minimum size of 10 cm applies.",demersal; non-migratory; brackish; marine; depth range 0 - 104 m (Ref. 52034),,NA,,,
Hippocampus_algiricus,Syngnathidae,,,19.2,OT male/unsexed,NA,NA,15,-15,15,NA,NA,3.4,"Eastern Central Atlantic:  Senegal to Angola. International trade is monitored through a licensing system (CITES II, since 5.15.04) and a minimum size of 10 cm applies.",demersal; non-migratory; marine,,NA,,,
Hippocampus_angustus,Syngnathidae,,,22,TL male/unsexed,3,63,-10,-24,24,NA,NA,3.5,"Eastern Indian Ocean:  northwestern Australia only, from Torres Strait to North West Cape.  Records from Queensland need verification; often misidentified with Hippocampus histrix. International trade is monitored through a licensing system (CITES II, since 5.15.04) and a minimum size of 10 cm applies.",reef-associated; non-migratory; marine; depth range 3 - 63 m (Ref. 30915),,NA,,,
Hippocampus_barbouri,Syngnathidae,,,15,OT male/unsexed,6,12,16,-10,16,NA,NA,3.4,"Western Central Pacific:  southern Sulu Sea. International trade is monitored through a licensing system (CITES II, since 5.15.04) and a minimum size of 10 cm applies.",reef-associated; non-migratory; marine; depth range 6 - 10 m (Ref. 48635),,NA,,,
Hippocampus_bargibanti,Syngnathidae,,,2.4,OT male/unsexed,16,40,3,-23,23,NA,NA,3.4,"Western Central Atlantic:  Indonesia, Papua New Guinea, Queensland, and New Caledonia.  Conservation status:  data deficient (Ref. 30915). International trade is monitored through a licensing system (CITES II, since 5.15.04).",reef-associated; non-migratory; marine; depth range 16 - 40 m (Ref. 30915),,NA,,,
Hippocampus_breviceps,Syngnathidae,,,15,TL male/unsexed,? ,15,-21,-43,43,NA,NA,3.5,"Indo-Pacific:  endemic to south west Australia. International trade is monitored through a licensing system (CITES II, since 5.15.04) and a minimum size of 10 cm applies.",demersal; non-migratory; marine; depth range ? - 15 m (Ref. 52034),,NA,,,
Hippocampus_camelopardalis,Syngnathidae,,,10,TL male/unsexed,? ,45,-5,-34,34,NA,NA,3.3,"Western Indian Ocean:  Zanzibar (Tanzania), Inhaca, Delagoa Bay (Mozambique) and False Bay (South Africa). International trade is monitored through a licensing system (CITES II, since 5.15.04) and a minimum size of 10 cm applies.",demersal; non-migratory; marine; depth range ? - 45 m (Ref. 52034),,NA,,,
Hippocampus_capensis,Syngnathidae,,,12.1,OT male/unsexed,0,20,-33,-34,34,NA,NA,3.4,"Southeast Atlantic:  endemic to South Africa.  Hippocampus capensis has the smallest known range of any seahorse and was the first to be assessed as threatened on the IUCN Red List, in 1994. International trade is monitored through a licensing system (CITES II, since 5.15.04) and a minimum size of 10 cm applies.",demersal; non-migratory; brackish; marine; depth range 0 - 20 m (Ref. 30915),,NA,,,
Hippocampus_comes,Syngnathidae,,,18.7,OT male/unsexed,15,30,15,-10,15,NA,NA,3.4,"Western Central Pacific:  Malaysia, Singapore, Viet Nam and Philippines.  Confused with Hippocampus kuda. International trade is monitored through a licensing system (CITES II, since 5.15.04) and a minimum size of 10 cm applies.",reef-associated; non-migratory; marine; depth range ? - 20 m (Ref. 52034),,NA,,,
Hippocampus_coronatus,Syngnathidae,,,10.8,SL male/unsexed,NA,NA,NA,NA,NA,NA,NA,3.3,"Northwest Pacific:  Endemic to Japan.  This name has been misapplied to Hippocampus sindonis (Ref. 30915). International trade is monitored through a licensing system (CITES II, since 5.15.04) and a minimum size of 10 cm applies.",demersal; non-migratory; marine,,NA,,,
Hippocampus_erectus,Syngnathidae,,,19,OT male/unsexed,1,73,50,5,50,10,27,3.5,"Western Atlantic:  Nova Scotia, Canada and northern Gulf of Mexico to Panama and Venezuela.  A southern form that may prove to be a separate species is known from Rio de Janeiro, Brazil and questionably from Suriname. International trade is monitored through a licensing system (CITES II, since 5.15.04) and a minimum size of 10 cm applies.",reef-associated; non-migratory; marine; depth range 1 - 73 m (Ref. 30915),,NA,,,
Hippocampus_fisheri,Syngnathidae,,,8,OT male/unsexed,0, ? ,NA,NA,NA,NA,NA,3.4,"Western Pacific:  Hawaii and questionably from Lord Howe Island and New Caledonia. International trade is monitored through a licensing system (CITES II, since 5.15.04).",demersal; non-migratory; marine; depth range 0 - ? m,,NA,,,
Hippocampus_fuscus,Syngnathidae,,,14.4,OT male/unsexed,0,10,NA,NA,NA,NA,NA,3.4,"Indian Ocean:  Red Sea, Saudi Arabia, Djibouti, and Sri Lanka.  Records from South Africa, Madagascar, Mauritius and Runion are questionable. International trade is monitored through a licensing system (CITES II, since 5.15.04) and a minimum size of 10 cm applies.",demersal; amphidromous (Ref. 51243); marine; depth range 0 - 10 m (Ref. 52034),,NA,,,
Hippocampus_guttulatus,Syngnathidae,,,21.5,SL male/unsexed,? ,20,63,20,63,NA,NA,3.5,"Eastern Atlantic:  British Isles to Morocco, Canary Islands (Ref. 4509), Madeira, and the Azores including the Mediterranean.  Black Sea specimens may represent a different species. International trade is monitored through a licensing system (CITES II, since 5.15.04) and a minimum size of 10 cm applies.",demersal; non-migratory; marine; depth range ? - 12 m (Ref. 52034),,NA,,,
Hippocampus_hippocampus,Syngnathidae,,,15,TL male/unsexed,? ,60,52,2,52,NA,NA,3.2,"Eastern Atlantic:  Wadden Sea southward to the Gulf of Guinea, Canary Islands and along the African coast to Guinea.  Also in the Mediterranean. International trade is monitored through a licensing system (CITES II, since 5.15.04) and a minimum size of 10 cm applies.",demersal; non-migratory; marine; depth range ? - 60 m (Ref. 52034),,NA,,,
Hippocampus_ingens,Syngnathidae,,,30,TL male/unsexed,0,60,NA,NA,NA,NA,NA,3.3,"Eastern Pacific:  San Diego in California, USA to Peru including the Galapagos Islands. International trade is monitored through a licensing system (CITES II, since 5.15.04) and a minimum size of 10 cm applies.","reef-associated; non-migratory; marine; depth range 0 - 60 m (Ref. 30915), usually 3 - 18 m (Ref. 5227)",,NA,,,
Hippocampus_kelloggi,Syngnathidae,,,28,OT male/unsexed,? ,120,NA,NA,NA,NA,NA,3.4,"Indo-West Pacific:  East Africa and the Red Sea to Japan and Lord Howe Island, Australia.  International trade is monitored through a licensing system (CITES II, since 5.15.04) and a minimum size of 10 cm applies.",bathydemersal; non-migratory; marine; depth range ? - 120 m (Ref. 52034),,NA,,,
Hippocampus_kuda,Syngnathidae,,,30,TL male/unsexed,0,68,39,-28,39,NA,NA,3.6,"Indo-Pacific:  Pakistan and India to southern Japan, Hawaii, and the Society Islands (Ref. 30915).  This name is used for maybe 10 distinct species in the Indo-Pacific (Ref. 12238, 30915). International trade is monitored through a licensing system (CITES II, since 5.15.04) and a minimum size of 10 cm applies.",reef-associated; non-migratory; brackish; marine; depth range 0 - 68 m (Ref. 37816),,NA,,,
Hippocampus_mohnikei,Syngnathidae,,,8,OT male/unsexed,1, ? ,NA,NA,NA,NA,NA,3.8,"Western Pacific:  Japan and Viet Nam; occurrence along Chinese coast needs confirmation.  Status:   International trade is monitored through a licensing system (CITES II, since 5.15.04).",demersal; non-migratory; marine; depth range 1 - ? m (Ref. 30915),,NA,,,
Hippocampus_patagonicus,Syngnathidae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,Southwest Atlantic:  Argentina.,benthopelagic; marine,,NA,,,
Hippocampus_queenslandicus,Syngnathidae,,,11.6,OT male/unsexed,20,63,NA,NA,NA,NA,NA,3.4,"Western Central Pacific:  Queensland, Australia. International trade is monitored through a licensing system (CITES II, since 5.15.04) and a minimum size of 10 cm applies.",reef-associated; marine; depth range 20 - 63 m (Ref. 42735),,NA,,,
Hippocampus_reidi,Syngnathidae,,,17.5,OT male/unsexed,0,55,29,-25,29,NA,NA,3.4,"Western Atlantic:  North Carolina in USA, Bermuda (Ref. 9710) and Bahamas to Santa Catarina, Brazil (Ref. 57756).  International trade is monitored through a licensing system (CITES II, since 5.15.04) and a minimum size of 10 cm applies.",reef-associated; non-migratory; brackish; marine; depth range 0 - 55 m (Ref. 30915),,NA,,,
Hippocampus_sindonis,Syngnathidae,,,8,OT male/unsexed,NA,NA,NA,NA,NA,NA,NA,3.4,"Northwest Pacific:  southern Japan and the southern Korean Peninsula.  International trade is monitored through a licensing system (CITES II, since 5.15.04).",demersal; non-migratory; marine,,NA,,,
Hippocampus_spinosissimus,Syngnathidae,,,17.2,OT male/unsexed,? ,70,27,-36,36,NA,NA,3.4,"Indo-Pacific:  Sri Lanka to Taiwan and Australia.  This species has often been misidentified as Hippocampus histrix (Ref. 30915).  International trade is monitored through a licensing system (CITES II, since 5.15.04) and a minimum size of 10 cm applies.",reef-associated; non-migratory; brackish; marine; depth range ? - 70 m (Ref. 52034),,NA,,,
Hippocampus_trimaculatus,Syngnathidae,,,22,TL male/unsexed,? ,100,42,-42,42,NA,NA,3.8,"Indo-Pacific:  southern India to Japan, Australia and Tahiti. International trade is monitored through a licensing system (CITES II, since 5.15.04) and a minimum size of 10 cm applies.","reef-associated; non-migratory; marine; depth range ? - 100 m (Ref. 52034), usually ? - 20 m (Ref. 30915)",,NA,,,
Hippocampus_whitei,Syngnathidae,,,13,OT male/unsexed,1,46,-20,-35,35,NA,NA,3.4,"Southwest Pacific:  Solomon Islands and Australia.  Records from southern Mozambique and Natal, South Africa are misidentifications of Hippocampus camelopardalis. International trade is monitored through a licensing system (CITES II, since 5.15.04) and a minimum size of 10 cm applies.","demersal; non-migratory; marine; depth range 1 - 46 m (Ref. 4281), usually 1 - 25 m (Ref. 30915)",,NA,,,
Hippocampus_zosterae,Syngnathidae,,,5,TL male/unsexed,? ,2,NA,NA,NA,NA,NA,3.2,"Western Atlantic:  Bermuda, southern Florida (USA), Bahamas and the entire Gulf of Mexico. International trade is monitored through a licensing system (CITES II, since 5.15.04).",demersal; non-migratory; marine; depth range ? - 2 m (Ref. 52034),,NA,,,
Idiotropiscis_lumnitzeri,Syngnathidae,,,5.5,TL male/unsexed,6,30,NA,NA,NA,NA,NA,3.2,"Southwestern Pacific:  known from the Sydney region (Clovelly, Cronulla and Botany Bay) and Jervis Bay.",reef-associated; non-migratory; marine; depth range 6 - 30 m (Ref. 54742),,NA,,,
Kaupus_costatus,Syngnathidae,,,12.9,SL male/unsexed,0,50,NA,NA,NA,NA,NA,3.3,Eastern Indian Ocean:  southern Australia.,demersal; marine; depth range 0 - 50 m (Ref. 5316),,NA,,,
Microphis_brachyurus_brachyurus,Syngnathidae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asia and Oceania:  Sri Lanka, southern India, Nicobar Islands and eastward to Japan and the Society Islands Records from Puerto Rico and USA need confirmation.  Africa:  east coast from Kenya south to Natal area.  Also Madagascar and Mauritius (Ref. 7248).  Africa:  Cte d""quot;Ivoire (Ref. 272).  Western Atlantic:  Atlantic coast of Florida, Bahamas, northern and southern Gulf of Mexico, Antilles, central and south American coasts to Brazil (Ref. 26938).",demersal; anadromous (Ref. 51243); freshwater; brackish; marine,,NA,,,
Nerophis_lumbriciformis,Syngnathidae,,,15,TL male/unsexed,? ,30,63,21,63,NA,NA,4,"Eastern Atlantic:  southern Norway, Kattegat and British Isles to Rio de Oro in Western Sahara.",demersal; marine; depth range ? - 30 m (Ref. 6733),,NA,,,
Nerophis_ophidion,Syngnathidae,,,29,TL male/unsexed,2,15,63,30,63,NA,NA,4,"Eastern Atlantic:  Norway to Morocco (excluding region from Denmark to Netherlands), also throughout the Mediterranean and the Black Sea.",demersal; brackish; marine; depth range 2 - 15 m (Ref. 6733),,NA,,,
Phycodurus_eques,Syngnathidae,,,35,TL male/unsexed,4,30,-32,-39,39,NA,NA,3.3,Eastern Indian Ocean:  endemic to southern Australia.,reef-associated; non-migratory; marine; depth range 4 - 30 m (Ref. 9002),,NA,,,
Phyllopteryx_taeniolatus,Syngnathidae,,,46,TL male/unsexed,0,50,NA,NA,NA,NA,NA,3.5,"Eastern Indian Ocean:  southern Australia, from southern Western Australia to New South Wales and Tasmania (Ref. 9563).",reef-associated; marine; depth range 0 - 50 m (Ref. 9563),,NA,,,
Pugnaso_curtirostris,Syngnathidae,,,18.2,SL male/unsexed,? ,11,-31,-44,44,NA,NA,3.4,Eastern Indian Ocean:  southern Australia.,demersal; brackish; marine; depth range ? - 11 m (Ref. 5316),,NA,,,
Solegnathus_dunckeri,Syngnathidae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,Western Pacific:   Australia.,demersal; marine,,NA,,,
Solegnathus_hardwickii,Syngnathidae,,,40,TL male/unsexed,NA,NA,NA,NA,NA,NA,NA,3.5,"Western Indian Ocean:  Mauritius.  Western Pacific:  South China Sea north to southern Japan, south to northern Australia.",demersal; marine,,NA,,,
Solegnathus_lettiensis,Syngnathidae,,,NA,NA,146,180,NA,NA,NA,NA,NA,3.5,Eastern Indian Ocean:  Indonesia and Western Australia.,demersal; marine; depth range 146 - 180 m (Ref. 5316),,NA,,,
Stigmatopora_argus,Syngnathidae,,,25.4,TL male/unsexed,? ,8,NA,NA,NA,NA,NA,3.4,"Eastern Indian Ocean:  endemic to southern Australia, from Rottnest Island and Shark Bay, Western Australia to Hawkesbury River, New South Wales.",demersal; brackish; marine; depth range ? - 8 m (Ref. 5316),,NA,,,
Stigmatopora_nigra,Syngnathidae,,,16.2,TL male/unsexed,1,35,-32,-45,45,NA,NA,3.3,Indo-West Pacific:  southern Australia and New Zealand.,demersal; brackish; marine; depth range 1 - 35 m (Ref. 31838),,NA,,,
Syngnathus_abaster,Syngnathidae,,,21,TL male/unsexed,? ,5,45,30,45,22,24,3.2,"Eastern Atlantic:  southern Biscay to Gibraltar, and also the Mediterranean and Black seas.  Introduced and became established in the former USSR.  In Appendix III of the Bern Convention (protected fauna).",demersal; amphidromous? (Ref. 51243); freshwater; brackish; marine; depth range ? - 5 m (Ref. 6733),,NA,,,
Syngnathus_acus,Syngnathidae,,,50,TL male/unsexed,0,110,71,-35,71,NA,NA,3.3,"Eastern Atlantic:  Norway, Faroes and British Isles to Western Sahara, Senegambia, and from Namibia to Cape of Good Hope and northward to the coast of Zululand in the western Indian Ocean (Ref. 4127).  Also throughout the Mediterranean, Aegean and Black seas.  Despite literature records, occurrence in the Indo-Pacific outside South African waters lacks conclusive evidence (Ref. 4281).",demersal; brackish; marine; depth range 90 - 110 m (Ref. 4281),,NA,,,
Syngnathus_auliscus,Syngnathidae,,,18,TL male/unsexed,NA,NA,NA,NA,NA,NA,NA,3.3,"Eastern Pacific:  Santa Barbara Channel in southern California, USA to northern Peru.",demersal; brackish; marine,,NA,,,
Syngnathus_exilis,Syngnathidae,,,25,TL male/unsexed,NA,NA,NA,NA,NA,NA,NA,3.3,"Eastern Pacific:  Half Moon Bay in central California, USA to south central Baja California and Guadalupe Island off north central Baja California, Mexico.",demersal; marine,,NA,,,
Syngnathus_floridae,Syngnathidae,,,25,TL male/unsexed,? ,22,40,8,40,NA,NA,3.3,"Western Atlantic:  disjunct distribution from Bermuda and Chesapeake Bay (USA), including the northern Gulf of Mexico, the Bahamas, and the western Caribbean Sea (Ref. 37039), to Panama.","demersal; marine; depth range ? - 22 m (Ref. 26938), usually ? - 4 m (Ref. 26938)",,NA,,,
Syngnathus_fuscus,Syngnathidae,,,33,TL male/unsexed,5,366,50,26,50,NA,NA,3.2,Western Atlantic:  Gulf of St. Lawrence in Canada to northeastern Florida in USA; also in northwestern Gulf of Mexico.,demersal; amphidromous; freshwater; brackish; marine; depth range 5 - 366 m,,NA,,,
Syngnathus_louisianae,Syngnathidae,,,38,TL male/unsexed,NA,NA,38,18,38,NA,NA,3.4,"Western Atlantic:  Virginia in USA, Bermuda and northern Gulf of Mexico in USA to Campeche in Mexico and Jamaica; absent from Bahamas.",reef-associated; marine,,NA,,,
Syngnathus_rostellatus,Syngnathidae,,,17,TL male/unsexed,0,15,61,43,61,NA,NA,3.7,"Northeast Atlantic:  Bergen, Norway and southern portions British Isles to Bay of Biscay.",demersal; non-migratory; brackish; marine; depth range 0 - 15 m (Ref. 35388),,NA,,,
Syngnathus_schlegeli,Syngnathidae,,,30,TL male/unsexed,NA,NA,NA,NA,NA,NA,NA,3.1,"Northwest Pacific:  around Vladivostok, Russia Federation southward to the Gulf of Tonkin.",demersal; oceanodromous (Ref. 51243); brackish; marine,,NA,,,
Syngnathus_springeri,Syngnathidae,,,38,TL male/unsexed,18,127,37,8,37,NA,NA,3.4,"Western Atlantic:  Canada (Ref. 5951) to North Carolina in USA, Bahamas and northeastern Gulf of Mexico to Panama.",reef-associated; marine; depth range 18 - 127 m,,NA,,,
Syngnathus_taenionotus,Syngnathidae,,,19,TL male/unsexed,NA,NA,47,42,47,NA,NA,3.4,Mediterranean Sea:  northwestern Adriatic Sea.,demersal; brackish; marine,,NA,,,
Syngnathus_typhle,Syngnathidae,,,35,TL male/unsexed,1,20,71,30,71,8,24,4.3,"Eastern Atlantic:  Vard, Norway, Baltic Sea and the British Isles to Morocco.  Also throughout the Mediterranean, Black Sea and Sea of Azov.  Record off Ghana is still questionable (Ref. 4509).",demersal; non-migratory; brackish; marine; depth range 1 - 20 m (Ref. 35388),,NA,,,
Urocampus_carinirostris,Syngnathidae,,,10,SL male/unsexed,? ,3,-8,-45,45,NA,NA,3,Western Pacific:  Australia and Papua New Guinea.,demersal; brackish; marine; depth range ? - 3 m (Ref. 5316),,NA,,,
Vanacampus_margaritifer,Syngnathidae,,,15.9,SL male/unsexed,0,10,NA,NA,NA,NA,NA,3.4,"Western Pacific:  Southport, southern Queensland to Port Phillip Bay, Victoria, and off Rottnest Island, Western Australia.",demersal; marine; depth range 0 - 10 m (Ref. 5316),,NA,,,
Vanacampus_poecilolaemus,Syngnathidae,,,26.1,SL male/unsexed,1,11,NA,NA,NA,NA,NA,3.4,Eastern Indian Ocean:  southern Australia.,demersal; brackish; marine; depth range 1 - 11 m (Ref. 5316),,NA,,,
Harpadon_microchir,Synodontidae,,,70,SL male/unsexed,NA,NA,NA,NA,NA,NA,NA,4.6,Indo-Pacific.,demersal; marine,,NA,,,
Saurida_elongata,Synodontidae,,,50,SL male/unsexed,20,100,NA,NA,NA,NA,NA,4.4,Northwest Pacific:  Japan to the northern South China Sea. ,demersal; marine; depth range 20 - 100 m (Ref. 44036),,NA,,,
Saurida_undosquamis,Synodontidae,,,50,SL male/unsexed,1,350,45,-44,45,NA,NA,4.5,"Eastern Indian Ocean, Malay Peninsula, southern Philippines, northern Java, Arafura Sea, Louisiade Archipelago, and northern half and southwestern Australia.  Distribution needs revision due to questionable (unconfirmed) occurences as reported by major references (see Inoue "" Nakabo 2006, Ref. 57869:385-6).",reef-associated; amphidromous (Ref. 51243); marine; depth range 1 - 350 m (Ref. 38189),,NA,,,
Saurida_wanieso,Synodontidae,,,65,SL male/unsexed,NA,NA,NA,NA,NA,NA,NA,4,Indo-West Pacific.,demersal; marine,,NA,,,
Synodus_foetens,Synodontidae,,,48.3,FL male/unsexed,0,200,NA,NA,NA,25,35,4.5,"Western Atlantic:  Massachusetts, USA and northern Gulf of Mexico to Brazil.",reef-associated; brackish; marine; depth range 0 - 200 m (Ref. 9710),,NA,,,
